URL,FILE SIZE,OUTGOING URLS,CONTENT-TYPE
http://www.nydailynews.com/life-style/sprite-brutallyrefreshing-campaign-slammed-brutally-sexist-article-1.2739621,91017,121,text/html
http://www.nydailynews.com/tags/gal-godot,94697,104,text/html
http://www.nydailynews.com/news/politics/hillary-clinton-book-apology-article-1.3130675,94778,131,text/html
http://www.nydailynews.com/,196985,383,text/html
http://www.nydailynews.com/sports/new-york-daily-news-back-pages-2017-gallery-1.2943572?pmSlide=1.2931359,67746,22,text/html
http://www.nydailynews.com/news/politics/trump-blaming-clintons-north-korea-nuclear-threats-article-1.3508561,91327,115,text/html
http://www.nydailynews.com/autos/hyundai/details/colors/2018-hyundai-santa-fe-review-ratings-photos-specifications-2018-1.3429658?vtype=colors,35414,107,text/html
http://www.nydailynews.com/autos/news/ford-microsoft-hololens-car-design-technology-video-article-1.3511530,82995,108,text/html
http://www.nydailynews.com/sports/basketball/kyrie-irving-didn-lebron-james-asked-cavs-trade-article-1.3504199,89327,118,text/html
http://www.nydailynews.com/autos/chevrolet/chevrolet-corvette-coupe-2017-1.2896143,35351,112,text/html
http://www.nydailynews.com/autos/first-pictures-2018-infiniti-q50-gallery-1.2991151,27071,20,text/html
http://www.nydailynews.com/autos/tags/armada,58342,109,text/html
http://www.nydailynews.com/autos/latest-reviews/first-drive-2018-kia-rio-review-article-1.3495321,96534,120,text/html
http://www.nydailynews.com/autos/land-rover/details/pricing/land-rover-range-rover-sport-2017-1.2911995?vtype=price,36005,108,text/html
http://www.nydailynews.com/news/world/baby-6-months-died-mother-arms-london-tower-fire-article-1.3285771,89461,113,text/html
http://www.nydailynews.com/autos/street-smarts/driving-a-moke-in-new-york-city-article-1.3361958,93993,114,text/html
http://www.nydailynews.com/entertainment/tv/bold-summer-entries-extant-face-ratings-tests-article-1.1892503,89430,120,text/html
http://www.nydailynews.com/news/politics/anthony-weiner-sext-marred-mayoral-bid-inspires-tv-show-plots-article-1.1492773,90451,109,text/html
