17/10/15 18:49:45 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.1-hadoop2
17/10/15 18:49:45 INFO client.RMProxy: Connecting to ResourceManager at cluster-3ec8-m/10.138.0.2:8032
17/10/15 18:49:46 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/10/15 18:49:47 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
17/10/15 18:49:47 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
17/10/15 18:49:48 INFO input.FileInputFormat: Total input files to process : 3035
17/10/15 18:49:49 INFO mapreduce.JobSubmitter: number of splits:3035
17/10/15 18:49:49 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1508090916211_0003
17/10/15 18:49:49 INFO impl.YarnClientImpl: Submitted application application_1508090916211_0003
17/10/15 18:49:49 INFO mapreduce.Job: The url to track the job: http://cluster-3ec8-m:8088/proxy/application_1508090916211_0003/
17/10/15 18:49:49 INFO mapreduce.Job: Running job: job_1508090916211_0003
17/10/15 18:49:56 INFO mapreduce.Job: Job job_1508090916211_0003 running in uber mode : false
17/10/15 20:41:21 INFO mapreduce.Job:  map 100% reduce 72%
17/10/15 20:41:24 INFO mapreduce.Job:  map 100% reduce 73%
17/10/15 20:41:27 INFO mapreduce.Job:  map 100% reduce 74%
17/10/15 20:41:30 INFO mapreduce.Job:  map 100% reduce 75%
17/10/15 20:41:33 INFO mapreduce.Job:  map 100% reduce 76%
17/10/15 20:41:36 INFO mapreduce.Job:  map 100% reduce 77%
17/10/15 20:41:39 INFO mapreduce.Job:  map 100% reduce 78%
17/10/15 20:41:43 INFO mapreduce.Job:  map 100% reduce 79%
17/10/15 20:41:48 INFO mapreduce.Job:  map 100% reduce 80%
17/10/15 20:41:49 INFO mapreduce.Job:  map 100% reduce 81%
17/10/15 20:41:54 INFO mapreduce.Job:  map 100% reduce 82%
17/10/15 20:41:57 INFO mapreduce.Job:  map 100% reduce 83%
17/10/15 20:42:01 INFO mapreduce.Job:  map 100% reduce 84%
17/10/15 20:42:03 INFO mapreduce.Job:  map 100% reduce 85%
17/10/15 20:42:09 INFO mapreduce.Job:  map 100% reduce 86%
17/10/15 20:42:12 INFO mapreduce.Job:  map 100% reduce 87%
17/10/15 20:42:13 INFO mapreduce.Job:  map 100% reduce 88%
17/10/15 20:42:18 INFO mapreduce.Job:  map 100% reduce 90%
17/10/15 20:42:24 INFO mapreduce.Job:  map 100% reduce 91%
17/10/15 20:42:27 INFO mapreduce.Job:  map 100% reduce 92%
17/10/15 20:42:36 INFO mapreduce.Job:  map 100% reduce 93%
17/10/15 20:42:43 INFO mapreduce.Job:  map 100% reduce 94%
17/10/15 20:42:51 INFO mapreduce.Job:  map 100% reduce 95%
17/10/15 20:42:57 INFO mapreduce.Job:  map 100% reduce 96%
17/10/15 20:43:01 INFO mapreduce.Job:  map 100% reduce 97%
17/10/15 20:43:08 INFO mapreduce.Job:  map 100% reduce 98%
17/10/15 20:43:24 INFO mapreduce.Job:  map 100% reduce 99%
17/10/15 20:43:30 INFO mapreduce.Job:  map 100% reduce 100%
17/10/15 20:43:36 INFO mapreduce.Job: Job job_1508090916211_0003 completed successfully
17/10/15 20:43:36 INFO mapreduce.Job: Counters: 54
	File System Counters
		FILE: Number of bytes read=2391227430
		FILE: Number of bytes written=5217993600
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=1141053926
		GS: Number of bytes written=235958487
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=445818
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=3035
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Launched map tasks=3035
		Launched reduce tasks=5
		Rack-local map tasks=3035
		Total time spent by all maps in occupied slots (ms)=115596388
		Total time spent by all reduces in occupied slots (ms)=6239996
		Total time spent by all map tasks (ms)=28899097
		Total time spent by all reduce tasks (ms)=1559999
		Total vcore-milliseconds taken by all map tasks=28899097
		Total vcore-milliseconds taken by all reduce tasks=1559999
		Total megabyte-milliseconds taken by all map tasks=59185350656
		Total megabyte-milliseconds taken by all reduce tasks=3194877952
	Map-Reduce Framework
		Map input records=3035
		Map output records=210626295
		Map output bytes=1969974781
		Map output materialized bytes=2391318450
		Input split bytes=445818
		Combine input records=0
		Combine output records=0
		Reduce input groups=1221280
		Reduce shuffle bytes=2391318450
		Reduce input records=210626295
		Reduce output records=1221280
		Spilled Records=421252590
		Shuffled Maps =15175
		Failed Shuffles=0
		Merged Map outputs=15175
		GC time elapsed (ms)=689886
		CPU time spent (ms)=5644700
		Physical memory (bytes) snapshot=1451761455104
		Virtual memory (bytes) snapshot=10618798501888
		Total committed heap usage (bytes)=1326171291648
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=1141053926
	File Output Format Counters 
		Bytes Written=235958487
Job output is complete
